rank, id, time, target_img, triangle_yellow, triangle_yellow_mirrored, box_yellow, triangle_green, quarter_green, triangle_red, box_red, name, block
1, 1, 180000, target.png, 0, 0, 0, 0, 4, 0, 0, R06, 1
2, 2, 180000, target.png, 0, 0, 0, 4, 0, 0, 0, R08, 1
3, 3, 180000, target.png, 0, 0, 0, 2, 0, 0, 0, R01, 1
5, 5, 180000, target.png, 0, 0, 0, 0, 4, 0, 0, R12, 1
7, 7, 180000, target.png, 0, 0, 0, 4, 0, 0, 0, R07, 1
8, 8, 180000, target.png, 0, 0, 0, 4, 0, 0, 0, R11, 1
9, 9, 180000, target.png, 0, 0, 0, 1, 3, 0, 0, R09, 1
12, 12, 180000, target.png, 0, 0, 0, 3, 0, 0, 0, R03, 2
13, 13, 180000, target.png, 0, 0, 0, 2, 2, 0, 0, R13, 2
15, 15, 180000, target.png, 0, 0, 0, 2, 1, 0, 0, R04, 2
16, 16, 180000, target.png, 0, 0, 0, 1, 1, 0, 0, R02, 2
19, 19, 180000, target.png, 0, 0, 0, 3, 0, 0, 0, R05, 2
21, 21, 180000, target.png, 0, 0, 0, 4, 0, 0, 0, R10, 2
26, 26, 180000, target.png, 0, 0, 0, 3, 2, 0, 0, R14, 3
28, 28, 180000, target.png, 0, 0, 0, 5, 0, 0, 0, R15, 3
29, 29, 180000, target.png, 0, 0, 0, 6, 0, 0, 0, R18, 3
30, 30, 180000, target.png, 0, 0, 0, 7, 0, 0, 0, R19, 3
33, 33, 180000, target.png, 0, 0, 0, 6, 0, 0, 0, R17, 3
34, 34, 180000, target.png, 0, 0, 0, 5, 0, 0, 0, R16, 3
37, 37, 180000, target.png, 0, 0, 0, 8, 0, 0, 0, R20, 3
